col_0,Partner,col_2,HS Code,Product,Year,UOM,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
7,Colombia,1,0810904680,"FRUITS, FRS, NES",2023-2023,KG,41,"6,573.0",45,"7,180.0",17,"2,291.0",17,"2,651.0",14,"2,334.0",21,"2,874.0",35,"5,689.0",8,"1,215.0",27,"4,288.0",,,,,,,226,"35,095.0",,US,CO,0810904680,,Standard_Query_07568.csv
7,Colombia,1,0810904680,"FRUITS, FRS, NES",2024-2024,KG,13,"2,306.0",14,"2,760.0",13,"2,192.0",9,"1,477.0",14,"2,127.0",31,"4,001.0",50,"6,279.0",46,"7,335.0",50,"7,085.0",,,,,,,239,"35,562.0",,US,CO,0810904680,,Standard_Query_07568.csv
7,Colombia,1,0810904680,"FRUITS, FRS, NES",2025-2025,KG,37,"6,112.0",45,"6,213.0",39,"5,055.0",30,"4,813.0",30,"3,966.0",50,"6,939.0",46,"8,104.0",40,"6,274.0",7,"1,368.0",,,,,,,325,"48,844.0",,US,CO,0810904680,,Standard_Query_07568.csv
8,Costa Rica,1,0810904630,"DRAGON FRUIT, FR",2024-2024,KG,6,"1,196.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,884.0,0,0.0,0,0.0,,,,,,,10,"2,080.0",,US,CS,0810904630,,Standard_Query_07568.csv
8,Costa Rica,2,0810904670,"RAMBUTAN, FRESH",2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,912.0,170,"103,980.0",45,"34,378.0",0,0.0,,,,,,,220,"139,270.0",,US,CS,0810904670,,Standard_Query_07568.csv
8,Costa Rica,2,0810904670,"RAMBUTAN, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,107,"34,933.0",77,"25,201.0",8,"2,275.0",0,0.0,0,0.0,,,,,,,191,"62,409.0",,US,CS,0810904670,,Standard_Query_07568.csv
8,Costa Rica,2,0810904670,"RAMBUTAN, FRESH",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,124,"37,065.0",0,0.0,0,0.0,0,0.0,,,,,,,124,"37,065.0",,US,CS,0810904670,,Standard_Query_07568.csv
9,Dominican Republic,1,0810904610,TOMATILLOS FR,2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,2,"3,103.0",0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,2,"3,103.0",,US,DR,0810904610,,Standard_Query_07568.csv
9,Dominican Republic,2,0810904620,"CACTUS PEARS, FR",2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,3,"2,398.0",0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,3,"2,398.0",,US,DR,0810904620,,Standard_Query_07568.csv
9,Dominican Republic,3,0810904630,"DRAGON FRUIT, FR",2024-2024,KG,0,0.0,5,"3,457.0",3,"3,090.0",5,"2,934.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,13,"9,481.0",,US,DR,0810904630,,Standard_Query_07568.csv
